benchmark,distribution,condition_axis,condition,model_key,model_label,calibration_id,outcome_metric,hinf_reliability,best_comparator_method,best_comparator_reliability,hinf_differential,gamma_star,s_rob,selection_metric,performance_source,selection_source
harmful,id,attack_template,Direct,llama31_8b,Llama-3.1-8B-Instruct,selected,safe_response_rate,96.67,Original,84.17,12.5,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,id,attack_template,Direct,llama32_1b,Llama-3.2-1B-Instruct,selected,safe_response_rate,97.08,A-LQR,90.42,6.659999999999997,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,id,attack_template,Direct,llama32_3b,Llama-3.2-3B-Instruct,selected,safe_response_rate,91.67,Original,83.33,8.340000000000003,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,APM programmer,llama31_8b,Llama-3.1-8B-Instruct,selected,safe_response_rate,99.17,A-LQR,89.17,10.0,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,APM programmer,llama32_1b,Llama-3.2-1B-Instruct,selected,safe_response_rate,99.58,Original,97.08,2.5,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,APM programmer,llama32_3b,Llama-3.2-3B-Instruct,selected,safe_response_rate,97.5,Original,89.17,8.329999999999998,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,DNE nonresponse,llama31_8b,Llama-3.1-8B-Instruct,selected,safe_response_rate,100.0,A-LQR,88.33,11.670000000000002,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,DNE nonresponse,llama32_1b,Llama-3.2-1B-Instruct,selected,safe_response_rate,98.33,A-LQR,95.83,2.5,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,DNE nonresponse,llama32_3b,Llama-3.2-3B-Instruct,selected,safe_response_rate,96.25,A-LQR,89.58,6.670000000000002,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,Jailbreak Bot,llama31_8b,Llama-3.1-8B-Instruct,selected,safe_response_rate,100.0,A-LQR,92.5,7.5,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,Jailbreak Bot,llama32_1b,Llama-3.2-1B-Instruct,selected,safe_response_rate,99.58,A-LQR,96.67,2.9099999999999966,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,Jailbreak Bot,llama32_3b,Llama-3.2-3B-Instruct,selected,safe_response_rate,96.25,A-LQR,87.08,9.170000000000002,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,John persona,llama31_8b,Llama-3.1-8B-Instruct,selected,safe_response_rate,98.33,A-LQR,85.0,13.329999999999998,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,John persona,llama32_1b,Llama-3.2-1B-Instruct,selected,safe_response_rate,98.75,Original,94.17,4.579999999999998,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,John persona,llama32_3b,Llama-3.2-3B-Instruct,selected,safe_response_rate,95.83,Original,88.33,7.5,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,YOJA/Nona roleplay,llama31_8b,Llama-3.1-8B-Instruct,selected,safe_response_rate,100.0,A-LQR,90.83,9.170000000000002,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,ood,attack_template,YOJA/Nona roleplay,llama32_1b,Llama-3.2-1B-Instruct,selected,safe_response_rate,99.17,Original,91.67,7.5,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
