benchmark,distribution,condition_axis,condition,model_key,model_label,method,metric,value,standard_error,higher_is_better,unit,source_path
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Original,true,28.89,1.56,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Original,informative,94.25,0.42,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Original,true_times_informative,27.22,1.35,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Original,instruction_relevance,0.82,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,Original,fluency,1.08,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ITI,true,30.11,0.73,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ITI,informative,95.84,0.66,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ITI,true_times_informative,28.86,0.58,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ITI,instruction_relevance,0.9,0.02,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ITI,fluency,1.08,0.01,true,score_0_2,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ActAdd,true,36.6,2.1,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ActAdd,informative,88.86,1.46,true,percent,figs/bench_table/truthfulness/truthfulqa.md
truthfulness,id,language,English,gpt2_xl,GPT-2 XL,ActAdd,true_times_informative,32.52,1.5,true,percent,figs/bench_table/truthfulness/truthfulqa.md
