concept,instance_id,sense,sentence
shelter.NOUN,shelter.NOUN.000001,shelter%1:06:00::,"Today, because of the awkward size of the curved poles, this structure is used less often by the Sami as a transportable shelter."
shelter.NOUN,shelter.NOUN.000002,shelter%1:06:00::,"Types There are three traditional types of igloos, all of different sizes and used for different purposes. The smallest were constructed as temporary shelters, usually only used for one or two nights."
shelter.NOUN,shelter.NOUN.000003,shelter%1:06:00::,The hole left in the snow where the blocks are cut is usually used as the lower half of the shelter.
shelter.NOUN,shelter.NOUN.000004,shelter%1:06:00::,Valuable items were stored in pole-mounted storage shelters called pataka.
shelter.NOUN,shelter.NOUN.000005,shelter%1:06:00::,"In all five regions, dwellings performed dual roles - providing both shelter and a tangible means of linking mankind with the universe."
shelter.NOUN,shelter.NOUN.000006,shelter%1:06:00::,"Quinzhees are not usually meant as a form of permanent shelter, while igloos can be used for seasonal habitation."
shelter.NOUN,shelter.NOUN.000007,shelter%1:06:00::,"Structure The domed, round shelter was used by numerous Native American cultures."
shelter.NOUN,shelter.NOUN.000008,shelter%1:06:00::,"The Thule adopted a design similar to the pit houses of the BC interior, but because of the lack of wood they instead used whale bones for the frame. In addition to meeting the primary need for shelter, structures functioned as integral expressions of their occupants ' spiritual beliefs and cultural values."
shelter.NOUN,shelter.NOUN.000009,shelter%1:06:00::,The curved surfaces make it an ideal shelter for all kinds of conditions.
shelter.NOUN,shelter.NOUN.000010,shelter%1:06:00::,"In South Australia, such a shelter is known as a ""wurley"" (also spelled ""wurlie""), possibly from the Kaurna language."
shelter.NOUN,shelter.NOUN.000011,shelter%1:06:00::,Igloos used as winter shelters had beds made of ice and caribou furs.
shelter.NOUN,shelter.NOUN.000012,shelter%1:06:00::,"Open and semi-circular, wiltjas are meant primarily as a defense against the heat of the sun, and are not an effective shelter from rain."
shelter.NOUN,shelter.NOUN.000013,shelter%1:06:00::,Video. How to build a Quinzee Snow Shelter
shelter.NOUN,shelter.NOUN.000014,shelter%1:06:00::,Dangers All snow shelters eventually collapse or melt.
shelter.NOUN,shelter.NOUN.000015,shelter%1:06:00::,Wiltjas are shelters made by the Pitjantjatjara people and other Indigenous Australian groups such as yankunytjatjara people.
shelter.NOUN,shelter.NOUN.000016,shelter%1:06:00::,"A humpy (or gunyah) is a small, temporary shelter, traditionally used by Australian Aboriginals, with a standing tree usually used as the main support."
shelter.NOUN,shelter.NOUN.000017,shelter%1:06:00::,A quinzhee or quinzee is a snow shelter that is made from a large pile of loose snow which is shaped then hollowed.
shelter.NOUN,shelter.NOUN.000018,shelter%1:06:00::,The next set of saplings were used to wrap around the wigwam to give the shelter support.
shelter.NOUN,shelter.NOUN.000019,shelter%1:06:00::,"The wigwam or ""wickiup"", a dome-shaped shelter typically made of bark layered on a pole-structure, was also used by various tribes, especially for hunting camps."
shelter.NOUN,shelter.NOUN.000020,shelter%1:06:00::,"Outside Inuit culture, however, igloo refers exclusively to shelters constructed from blocks of compacted snow, generally in the form of a dome."
shelter.NOUN,shelter.NOUN.000021,shelter%1:06:00::,"Other traditional structures include the summer shelter, the underground home, and the sweat house."
shelter.NOUN,shelter.NOUN.000022,shelter%1:06:00::,"In New South Wales ’ Warringah area, stone shelters were constructed in an elongated egg shape and packed with clay to keep the interior dry."
shelter.NOUN,shelter.NOUN.000023,shelter%1:06:00::,"Known as Kiichas, the temporary shelters were utilized for sleeping or as refuge in cases of inclement weather."
shelter.NOUN,shelter.NOUN.000024,shelter%1:06:00::,"A yaodong (Chinese: 窑洞; pinyin: yáodòng) or ""house cave"" is a particular form of earth shelter dwelling common in the Loess Plateau in China 's north."
shelter.NOUN,shelter.NOUN.000025,shelter%1:06:00::,"It is still used as a temporary shelter by the Sámi, and increasingly by other people for camping. There are several historical references that describe the lavvu structure (also called a kota, or a variation on this name) used by the Sami."
shelter.NOUN,shelter.NOUN.000026,shelter%1:06:00::,"The colonists were forced to build shelters using whatever skills they possessed, from whatever natural materials they could find."
shelter.NOUN,shelter.NOUN.000027,shelter%1:06:00::,"They provide shade, shelter, ornamental features in a landscape, and a place to rest."
shelter.NOUN,shelter.NOUN.000028,shelter%1:06:00::,The majority of these shelters were removed by the National Park Service in the 1970s.
shelter.NOUN,shelter.NOUN.000029,shelter%1:06:00::,"The Indian Bar shelter features a stone fireplace, and replaced an earlier ranger-built shelter."
shelter.NOUN,shelter.NOUN.000030,shelter%1:06:00::,"Indian Bar Trail Shelter The Indian Bar Trail Shelter in Mount Rainier National Park is a rustic shelter on the Wonderland Trail, built by the Civilian Conservation Corps in 1940."
shelter.NOUN,shelter.NOUN.000031,shelter%1:06:00::,North Mowich Trail Shelter The North Mowich Trail Shelter is one of a series of shelters designed to provide simple shelter to hikers on the Wonderland Trail in Mount Rainier National Park.
shelter.NOUN,shelter.NOUN.000032,shelter%1:06:00::,"A burdei or bordei (Romanian: bordei, Ukrainian: бурдей) is a type of half-dugout shelter, somewhat between a sod house and a log cabin."
shelter.NOUN,shelter.NOUN.000033,shelter%1:06:00::,The rustic log building provides shelter to hikers on the park 's Sol Duc River trail.
shelter.NOUN,shelter.NOUN.000034,shelter%1:06:00::,Sunset Park Trail Shelter The Sunset Park Trail Shelter was built in 1931 at Golden Lakes in the Sunset Park portion of Mount Rainier National Park.
shelter.NOUN,shelter.NOUN.000035,shelter%1:06:00::,"The shelters are part of the Mount Rainier National Historic Landmark District, which encompasses the entire park and which recognizes the park 's inventory of Park Service-designed rustic architecture."
shelter.NOUN,shelter.NOUN.000036,shelter%1:06:00::,"According to the supervising landscape architect, ""The workmen were inexperienced in stone work and the shelter was not too good in appearance, but it was in harmony with its location."""
shelter.NOUN,shelter.NOUN.000037,shelter%1:06:00::,The rustic log structure provides shelter for hikers on the Wonderland Trail that encircles Mount Rainier.
shelter.NOUN,shelter.NOUN.000038,shelter%1:06:00::,"They vary from small bivouac shelters made of wood to large modern huts that can sleep up to 40 people, with separate cooking areas, utilities and gas. Some huts were initially commissioned or built by clubs along commonly walked routes, both for safety reasons as appropriate, and sometimes for convenience."
shelter.NOUN,shelter.NOUN.000039,shelter%1:06:00::,It was built about 1932 by the U. S. Forest Service as part of a network of about ninety trail shelters for hikers in what was then Olympic National Forest.
shelter.NOUN,shelter.NOUN.000040,shelter%1:06:00::,Other historic shelters Sunset Park Patrol Cabin The Sunset Park Patrol Cabin was built in 1922 to shelter park rangers and hikers on the Wonderland Trail in Mount Rainier National Park.
shelter.NOUN,shelter.NOUN.000041,shelter%1:06:00::,"This type of shelter was also called a zemlyanka or a saraj (a Low German spelling for a Russian word meaning ""shed"")."
shelter.NOUN,shelter.NOUN.000042,shelter%1:06:00::,"They provide a unique opportunity for backcountry skiing, mountain biking, or hiking while staying in safe, comfortable shelter."
shelter.NOUN,shelter.NOUN.000043,shelter%1:06:00::,The North Fork Sol Duc Shelter is located in Olympic National Park in Washington.
shelter.NOUN,shelter.NOUN.000044,shelter%1:06:00::,"The term is from shiel, from the Northern dialect Middle English forms schele or shale, probably akin to Old Frisian skul meaning ' hiding place ' and to Old Norse Skjol meaning ' shelter ' and Skali meaning ' hut '."
shelter.NOUN,shelter.NOUN.000045,shelter%1:06:00::,Some gazebos in public parks are large enough to serve as bandstands or rain shelters.
shelter.NOUN,shelter.NOUN.000046,shelter%1:06:00::,Free standing lean-to structures are generally used as shelters.
shelter.NOUN,shelter.NOUN.000047,shelter%1:06:00::,"The Sunset Park shelter is built in a saltbox shape, with a porch spanning the width of the front."
shelter.NOUN,shelter.NOUN.000048,shelter%1:06:00::,Laugier provided an allegory of a man in nature and his need for shelter in An Essay on Architecture that formed an underlying structure and approach to architecture and its practice.
