shift,split,semantic_id,variant,label,text,behavior,token_count,linear_residual_rms,corrected_residual_rms,correction_benefit,ridge_lambda,fold,abs_correction_benefit
GPT-2: long context,ID,0,0,positive,"This product is excellent, reliable, and genuinely improved my day.",0.3314126431941986,13,1.0951477477346174,1.1001702214549596,-0.0050224737203421466,100.0,0,0.0050224737203421466
GPT-2: long context,OOD,0,0,positive,"A large block of unrelated background information is provided before the final sentence: the product was excellent, reliable, and genuinely improved my day.",0.34597161412239075,27,1.1267825430390679,1.1564010983466124,-0.029618555307544536,100.0,0,0.029618555307544536
GPT-2: long context,ID,0,1,positive,"For a short sentiment judgment, This product is excellent, reliable, and genuinely improved my day. Keep the meaning unchanged.",0.4999390244483948,24,1.0181860289084788,1.0301125155543946,-0.01192648664591589,100.0,0,0.01192648664591589
GPT-2: long context,OOD,0,1,positive,"For a short sentiment judgment, A large block of unrelated background information is provided before the final sentence: the product was excellent, reliable, and genuinely improved my day. Keep the meaning unchanged.",0.3804894983768463,38,1.1357918554218391,1.1663130435114755,-0.03052118808963633,100.0,0,0.03052118808963633
GPT-2: long context,ID,0,2,positive,"Consider the final user statement: This product is excellent, reliable, and genuinely improved my day. Treat it as a single evaluation sample.",0.2571444809436798,27,0.9783506951240954,0.9747970728174709,0.003553622306624593,100.0,0,0.003553622306624593
GPT-2: long context,OOD,0,2,positive,"Consider the final user statement: A large block of unrelated background information is provided before the final sentence: the product was excellent, reliable, and genuinely improved my day. Treat it as a single evaluation sample.",0.2490585297346115,41,1.1492203879906928,1.1546541687226675,-0.005433780731974647,100.0,0,0.005433780731974647
GPT-2: long context,ID,0,3,positive,"In a concise review setting, This product is excellent, reliable, and genuinely improved my day. This is part of a controlled benchmark set.",0.40321749448776245,28,0.9375244541417007,0.9670520704348542,-0.02952761629315348,100.0,0,0.02952761629315348
GPT-2: long context,OOD,0,3,positive,"In a concise review setting, A large block of unrelated background information is provided before the final sentence: the product was excellent, reliable, and genuinely improved my day. This is part of a controlled benchmark set.",0.37480953335762024,42,1.116749484028965,1.140121821934716,-0.023372337905751106,100.0,0,0.023372337905751106
GPT-2: long context,ID,0,4,positive,"As a benchmark sentence, This product is excellent, reliable, and genuinely improved my day. Preserve the original sentiment and intent.",0.372082382440567,26,1.0005976591444816,1.0227897516838236,-0.022192092539341957,100.0,0,0.022192092539341957
GPT-2: long context,OOD,0,4,positive,"As a benchmark sentence, A large block of unrelated background information is provided before the final sentence: the product was excellent, reliable, and genuinely improved my day. Preserve the original sentiment and intent.",0.22930538654327393,40,1.1145776227324724,1.1397866953251181,-0.02520907259264571,100.0,0,0.02520907259264571
GPT-2: long context,ID,1,0,positive,The service was surprisingly smooth and the staff were helpful.,0.3219725787639618,11,0.978956339842553,1.005137725911575,-0.026181386069021984,100.0,0,0.026181386069021984
GPT-2: long context,OOD,1,0,positive,This long prompt contains a lot of irrelevant neutral text before the actual review: the service was surprisingly smooth and the staff were helpful.,0.3869934380054474,26,1.1749741889253107,1.1812645648089246,-0.006290375883613919,100.0,0,0.006290375883613919
GPT-2: long context,ID,1,1,positive,"For a short sentiment judgment, The service was surprisingly smooth and the staff were helpful. Keep the meaning unchanged.",0.5343011617660522,22,0.8605230713087801,0.8528838184783778,0.007639252830402343,100.0,0,0.007639252830402343
GPT-2: long context,OOD,1,1,positive,"For a short sentiment judgment, This long prompt contains a lot of irrelevant neutral text before the actual review: the service was surprisingly smooth and the staff were helpful. Keep the meaning unchanged.",0.5609971284866333,37,1.0995527799863065,1.1217397500205524,-0.022186970034245856,100.0,0,0.022186970034245856
GPT-2: long context,ID,1,2,positive,Consider the final user statement: The service was surprisingly smooth and the staff were helpful. Treat it as a single evaluation sample.,0.24785012006759644,25,0.7329373774949374,0.7590059213852286,-0.02606854389029123,100.0,0,0.02606854389029123
GPT-2: long context,OOD,1,2,positive,Consider the final user statement: This long prompt contains a lot of irrelevant neutral text before the actual review: the service was surprisingly smooth and the staff were helpful. Treat it as a single evaluation sample.,0.3056674003601074,40,1.0873314853872933,1.101093563131602,-0.013762077744308598,100.0,0,0.013762077744308598
GPT-2: long context,ID,1,3,positive,"In a concise review setting, The service was surprisingly smooth and the staff were helpful. This is part of a controlled benchmark set.",0.41473087668418884,26,0.7647529357376425,0.765456520205201,-0.0007035844675585823,100.0,0,0.0007035844675585823
GPT-2: long context,OOD,1,3,positive,"In a concise review setting, This long prompt contains a lot of irrelevant neutral text before the actual review: the service was surprisingly smooth and the staff were helpful. This is part of a controlled benchmark set.",0.46510550379753113,41,1.0804984299370513,1.1022852078089325,-0.021786777871881213,100.0,0,0.021786777871881213
GPT-2: long context,ID,1,4,positive,"As a benchmark sentence, The service was surprisingly smooth and the staff were helpful. Preserve the original sentiment and intent.",0.4096742570400238,24,0.7810002958907707,0.7814868493619866,-0.0004865534712159558,100.0,0,0.0004865534712159558
GPT-2: long context,OOD,1,4,positive,"As a benchmark sentence, This long prompt contains a lot of irrelevant neutral text before the actual review: the service was surprisingly smooth and the staff were helpful. Preserve the original sentiment and intent.",0.37835994362831116,39,1.0783556815930717,1.0829468138253835,-0.004591132232311779,100.0,0,0.004591132232311779
GPT-2: long context,ID,2,0,positive,"The performance was outstanding, and the atmosphere felt warm and uplifting.",0.22937732934951782,14,1.1128835422848986,1.1290312624246694,-0.016147720139770838,100.0,1,0.016147720139770838
GPT-2: long context,OOD,2,0,positive,"The document begins with generic filler, then narrows to the actual user feedback: the performance was outstanding and the atmosphere felt warm and uplifting.",0.23604077100753784,29,1.2130163307322441,1.2275273498205124,-0.01451101908826824,100.0,1,0.01451101908826824
GPT-2: long context,ID,2,1,positive,"For a short sentiment judgment, The performance was outstanding, and the atmosphere felt warm and uplifting. Keep the meaning unchanged.",0.485276997089386,25,1.0900137899873008,1.0788332551143431,0.01118053487295767,100.0,1,0.01118053487295767
GPT-2: long context,OOD,2,1,positive,"For a short sentiment judgment, The document begins with generic filler, then narrows to the actual user feedback: the performance was outstanding and the atmosphere felt warm and uplifting. Keep the meaning unchanged.",0.28893622756004333,40,1.1921806249933131,1.2064473247937875,-0.014266699800474347,100.0,1,0.014266699800474347
GPT-2: long context,ID,2,2,positive,"Consider the final user statement: The performance was outstanding, and the atmosphere felt warm and uplifting. Treat it as a single evaluation sample.",0.22962768375873566,28,0.9899573197221476,0.9937511797932714,-0.0037938600711238113,100.0,1,0.0037938600711238113
GPT-2: long context,OOD,2,2,positive,"Consider the final user statement: The document begins with generic filler, then narrows to the actual user feedback: the performance was outstanding and the atmosphere felt warm and uplifting. Treat it as a single evaluation sample.",0.2596583664417267,43,1.1459486798042537,1.1777125773260373,-0.031763897521783546,100.0,1,0.031763897521783546
GPT-2: long context,ID,2,3,positive,"In a concise review setting, The performance was outstanding, and the atmosphere felt warm and uplifting. This is part of a controlled benchmark set.",0.4078746736049652,29,0.94939492667813,0.9719254423246667,-0.022530515646536742,100.0,1,0.022530515646536742
GPT-2: long context,OOD,2,3,positive,"In a concise review setting, The document begins with generic filler, then narrows to the actual user feedback: the performance was outstanding and the atmosphere felt warm and uplifting. This is part of a controlled benchmark set.",0.3095543384552002,44,1.1375464930812211,1.150516683053086,-0.012970189971864832,100.0,1,0.012970189971864832
GPT-2: long context,ID,2,4,positive,"As a benchmark sentence, The performance was outstanding, and the atmosphere felt warm and uplifting. Preserve the original sentiment and intent.",0.2866884768009186,27,1.0378963689331109,1.049826938024871,-0.011930569091760157,100.0,1,0.011930569091760157
GPT-2: long context,OOD,2,4,positive,"As a benchmark sentence, The document begins with generic filler, then narrows to the actual user feedback: the performance was outstanding and the atmosphere felt warm and uplifting. Preserve the original sentiment and intent.",0.20501334965229034,42,1.1580297334352068,1.1885678629913103,-0.030538129556103577,100.0,1,0.030538129556103577
GPT-2: long context,ID,3,0,positive,The service was smooth and the support was genuinely helpful.,0.3437573313713074,11,0.9802876079357774,0.9954155983158387,-0.015127990380061296,100.0,1,0.015127990380061296
GPT-2: long context,OOD,3,0,positive,"A verbose context is placed ahead of the final review statement, which says the service was smooth and the support was genuinely helpful.",0.3054605722427368,26,1.14061798501726,1.1564990132462203,-0.015881028228960314,100.0,1,0.015881028228960314
GPT-2: long context,ID,3,1,positive,"For a short sentiment judgment, The service was smooth and the support was genuinely helpful. Keep the meaning unchanged.",0.5282356142997742,22,0.8907657395396813,0.893153143835647,-0.0023874042959657338,100.0,1,0.0023874042959657338
GPT-2: long context,OOD,3,1,positive,"For a short sentiment judgment, A verbose context is placed ahead of the final review statement, which says the service was smooth and the support was genuinely helpful. Keep the meaning unchanged.",0.30685892701148987,37,1.0819866598223562,1.1039808802625428,-0.021994220440186618,100.0,1,0.021994220440186618
GPT-2: long context,ID,3,2,positive,Consider the final user statement: The service was smooth and the support was genuinely helpful. Treat it as a single evaluation sample.,0.2646495997905731,25,0.7857099096475365,0.78913920165541,-0.0034292920078734523,100.0,1,0.0034292920078734523
GPT-2: long context,OOD,3,2,positive,"Consider the final user statement: A verbose context is placed ahead of the final review statement, which says the service was smooth and the support was genuinely helpful. Treat it as a single evaluation sample.",0.21968623995780945,40,1.0436707761180468,1.049397394977738,-0.005726618859691168,100.0,1,0.005726618859691168
GPT-2: long context,ID,3,3,positive,"In a concise review setting, The service was smooth and the support was genuinely helpful. This is part of a controlled benchmark set.",0.45075178146362305,26,0.7856244569543763,0.7901705397489408,-0.004546082794564477,100.0,1,0.004546082794564477
GPT-2: long context,OOD,3,3,positive,"In a concise review setting, A verbose context is placed ahead of the final review statement, which says the service was smooth and the support was genuinely helpful. This is part of a controlled benchmark set.",0.3172949552536011,41,1.0246171712030343,1.026244466665077,-0.001627295462042655,100.0,1,0.001627295462042655
GPT-2: long context,ID,3,4,positive,"As a benchmark sentence, The service was smooth and the support was genuinely helpful. Preserve the original sentiment and intent.",0.4163132309913635,24,0.8256861033957466,0.8262399750621365,-0.0005538716663899823,100.0,1,0.0005538716663899823
GPT-2: long context,OOD,3,4,positive,"As a benchmark sentence, A verbose context is placed ahead of the final review statement, which says the service was smooth and the support was genuinely helpful. Preserve the original sentiment and intent.",0.20425373315811157,39,1.085004999658408,1.0829566161689093,0.002048383489498651,100.0,1,0.002048383489498651
GPT-2: long context,ID,4,0,negative,I felt frustrated and disappointed by the entire process and quality.,0.7524515986442566,12,1.1052027173192096,1.1309122601359762,-0.02570954281676663,100.0,2,0.02570954281676663
GPT-2: long context,OOD,4,0,negative,"The following context is a long document about a product review, and there is a lot of neutral background information before the short final sentence: the product was difficult to use, confusing to install, and disappointing in the end.",0.9604096412658691,44,1.174238629500237,1.2346247415395206,-0.06038611203928368,100.0,2,0.06038611203928368
GPT-2: long context,ID,4,1,negative,"For a short sentiment judgment, I felt frustrated and disappointed by the entire process and quality. Keep the meaning unchanged.",0.7631975412368774,23,1.0830485121485818,1.1037260054788216,-0.020677493330239827,100.0,2,0.020677493330239827
GPT-2: long context,OOD,4,1,negative,"For a short sentiment judgment, The following context is a long document about a product review, and there is a lot of neutral background information before the short final sentence: the product was difficult to use, confusing to install, and disappointing in the end. Keep the meaning unchanged.",0.9338691234588623,55,1.164211525780465,1.2268964625266021,-0.06268493674613707,100.0,2,0.06268493674613707
GPT-2: long context,ID,4,2,negative,Consider the final user statement: I felt frustrated and disappointed by the entire process and quality. Treat it as a single evaluation sample.,0.9289083480834961,26,1.0297381420679015,1.0391903208166162,-0.009452178748714735,100.0,2,0.009452178748714735
GPT-2: long context,OOD,4,2,negative,"Consider the final user statement: The following context is a long document about a product review, and there is a lot of neutral background information before the short final sentence: the product was difficult to use, confusing to install, and disappointing in the end. Treat it as a single evaluation sample.",1.3257336616516113,58,1.130300293000786,1.1633848470659423,-0.03308455406515631,100.0,2,0.03308455406515631
GPT-2: long context,ID,4,3,negative,"In a concise review setting, I felt frustrated and disappointed by the entire process and quality. This is part of a controlled benchmark set.",0.659916341304779,27,1.0060705535869587,1.0389272603455983,-0.03285670675863961,100.0,2,0.03285670675863961
GPT-2: long context,OOD,4,3,negative,"In a concise review setting, The following context is a long document about a product review, and there is a lot of neutral background information before the short final sentence: the product was difficult to use, confusing to install, and disappointing in the end. This is part of a controlled benchmark set.",1.0105139017105103,59,1.105196162874402,1.1342860718430665,-0.02908990896866448,100.0,2,0.02908990896866448
GPT-2: long context,ID,4,4,negative,"As a benchmark sentence, I felt frustrated and disappointed by the entire process and quality. Preserve the original sentiment and intent.",0.7812867760658264,25,1.0343921624466668,1.0489199645606326,-0.01452780211396587,100.0,2,0.01452780211396587
GPT-2: long context,OOD,4,4,negative,"As a benchmark sentence, The following context is a long document about a product review, and there is a lot of neutral background information before the short final sentence: the product was difficult to use, confusing to install, and disappointing in the end. Preserve the original sentiment and intent.",1.2303361892700195,57,1.1511001150672342,1.1934004842139168,-0.04230036914668256,100.0,2,0.04230036914668256
GPT-2: long context,ID,5,0,negative,"The service was slow, unhelpful, and left the customer frustrated.",0.5097343325614929,15,1.1383762176056913,1.1744139297752612,-0.03603771216956986,100.0,2,0.03603771216956986
GPT-2: long context,OOD,5,0,negative,"We have included several pages of unrelated but verbose context before reaching the actual answer: the service was slow, unhelpful, and left the customer frustrated.",0.7078796625137329,32,1.2234940978183346,1.2644272994407764,-0.04093320162244174,100.0,2,0.04093320162244174
GPT-2: long context,ID,5,1,negative,"For a short sentiment judgment, The service was slow, unhelpful, and left the customer frustrated. Keep the meaning unchanged.",0.6656764149665833,26,1.0246158559045795,1.0375657959344866,-0.012949940029907125,100.0,2,0.012949940029907125
GPT-2: long context,OOD,5,1,negative,"For a short sentiment judgment, We have included several pages of unrelated but verbose context before reaching the actual answer: the service was slow, unhelpful, and left the customer frustrated. Keep the meaning unchanged.",0.7300631403923035,43,1.1715537323296525,1.2137555840643113,-0.042201851734658735,100.0,2,0.042201851734658735
