benchmark,model_key,model_label,model_family,parameter_count,calibration_id,condition_axis,condition,outcome_metric,ood_reliability,gamma_star,s_rob,selection_metric,performance_source,selection_source
truthfulness,gpt2_xl,GPT-2 XL,gpt2,1557611200,txi95_fluency05_n200_r1,language_split,Spanish,true,84.21,30.839061737060547,0.03242640805761803,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa_spanish.md,benchmarks/truthfulness/cache/gpt2_xl/calibrations/h_infinity/txi95_fluency05_n200_r1/selection.json
truthfulness,llama31_8b,Llama-3-8B,llama,8030261248,txi_fluency_95_05,language_split,Spanish,true,68.54,4.852664470672607,0.20607235592808135,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa_spanish.md,benchmarks/truthfulness/cache/llama8b/calibrations/h_infinity/txi_fluency_95_05/selection.json
truthfulness,qwen25_14b,Qwen-2.5-14B,qwen2,14770033664,selected,language_split,Spanish,true,88.74,71.69063687324524,0.01394882293720001,truthfulness_quality_composite,figs/bench_table/truthfulness/truthfulqa_spanish.md,benchmarks/truthfulness/cache/qwen14b/calibrations/h_infinity/selected/selection.json
truthfulness,olmo2_32b,OLMo-2-32B,olmo2,32234279936,txi95_fluency05_n200_r1,language_split,Spanish,true,95.59,2.571195363998413,0.38892416111272093,truthfulqa_txi_fluency_composite,figs/bench_table/truthfulness/truthfulqa_spanish.md,benchmarks/truthfulness/cache/olmo2_32b_instruct/calibrations/h_infinity/txi95_fluency05_n200_r1/selection.json
harmful,llama32_1b,Llama-3.2-1B-Instruct,llama,1235814400,selected,template,John persona,safe_response_rate,98.75,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,Llama-3.2-1B-Instruct,llama,1235814400,selected,template,DNE nonresponse,safe_response_rate,98.33,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,Llama-3.2-1B-Instruct,llama,1235814400,selected,template,Jailbreak Bot,safe_response_rate,99.58,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,Llama-3.2-1B-Instruct,llama,1235814400,selected,template,YOJA/Nona roleplay,safe_response_rate,99.17,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,Llama-3.2-1B-Instruct,llama,1235814400,selected,template,APM programmer,safe_response_rate,99.58,0.13007521629333496,7.687859597672181,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_3b,Llama-3.2-3B-Instruct,llama,3212749824,selected,template,John persona,safe_response_rate,95.83,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_3b,Llama-3.2-3B-Instruct,llama,3212749824,selected,template,DNE nonresponse,safe_response_rate,96.25,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_3b,Llama-3.2-3B-Instruct,llama,3212749824,selected,template,Jailbreak Bot,safe_response_rate,96.25,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_3b,Llama-3.2-3B-Instruct,llama,3212749824,selected,template,YOJA/Nona roleplay,safe_response_rate,95.83,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_3b,Llama-3.2-3B-Instruct,llama,3212749824,selected,template,APM programmer,safe_response_rate,97.5,0.415802001953125,2.404990825688073,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama32_3b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama31_8b,Llama-3.1-8B-Instruct,llama,8030261248,selected,template,John persona,safe_response_rate,98.33,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama31_8b,Llama-3.1-8B-Instruct,llama,8030261248,selected,template,DNE nonresponse,safe_response_rate,100.0,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama31_8b,Llama-3.1-8B-Instruct,llama,8030261248,selected,template,Jailbreak Bot,safe_response_rate,100.0,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama31_8b,Llama-3.1-8B-Instruct,llama,8030261248,selected,template,YOJA/Nona roleplay,safe_response_rate,100.0,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama31_8b,Llama-3.1-8B-Instruct,llama,8030261248,selected,template,APM programmer,safe_response_rate,99.17,0.2867758274078369,3.487044249994804,mean per-response AXBench three-judge harmonic mean,figs/bench_table/harmful/harmbench_full.md,benchmarks/harmful/cache/llama31_8b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,qwen3_4b,Qwen3-4B,qwen3,4022468096,selected,language,Chinese,accuracy,51.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,qwen3_4b,Qwen3-4B,qwen3,4022468096,selected,language,French,accuracy,48.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,qwen3_4b,Qwen3-4B,qwen3,4022468096,selected,language,Japanese,accuracy,40.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,qwen3_4b,Qwen3-4B,qwen3,4022468096,selected,language,Swahili,accuracy,14.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,qwen3_4b,Qwen3-4B,qwen3,4022468096,selected,language,Telugu,accuracy,8.0,11.073577404022217,0.09030505350843292,mean per-response AXBench Spanish/relevance/fluency harmonic mean,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/qwen3_4b/calibrations/h_infinity/selected/selection.json
mgsm,phi4_mini,Phi-4-mini,phi3,3836021760,selected,language,Chinese,accuracy,47.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,phi4_mini,Phi-4-mini,phi3,3836021760,selected,language,French,accuracy,49.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,phi4_mini,Phi-4-mini,phi3,3836021760,selected,language,Japanese,accuracy,41.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,phi4_mini,Phi-4-mini,phi3,3836021760,selected,language,Swahili,accuracy,21.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,phi4_mini,Phi-4-mini,phi3,3836021760,selected,language,Telugu,accuracy,18.0,4.976749420166016,0.20093436811344256,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/phi4_mini_instruct/calibrations/h_infinity/selected/selection.json
mgsm,granite33_2b,Granite-3.3-2B,granite,2533539840,selected,language,Chinese,accuracy,39.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,granite33_2b,Granite-3.3-2B,granite,2533539840,selected,language,French,accuracy,28.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,granite33_2b,Granite-3.3-2B,granite,2533539840,selected,language,Japanese,accuracy,28.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,granite33_2b,Granite-3.3-2B,granite,2533539840,selected,language,Swahili,accuracy,6.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
mgsm,granite33_2b,Granite-3.3-2B,granite,2533539840,selected,language,Telugu,accuracy,5.0,1.100921630859375,0.9083298683298683,mgsm_quality_composite,figs/bench_table/mgsm/mgsm_full.md,benchmarks/mgsm/cache/granite33_2b_instruct/calibrations/h_infinity/selected/selection.json
